réseau,sous-réseau,n° réseau,n° station,lieu,nom,nb bornes,mois d'activité en 2011,mois d'activité en 2011,moyenne 2011 de stations par mois,,moyenne 2011 de bornes par mois,,Latitude,Longitude
Lsne-Morges,,1,0101,Lausanne,Place de l'Europe,1,#NOM ?,12.00,1.00,,1.00,,46.520323,6.631268
Lsne-Morges,,1,0102,Lausanne,Ouchy,15,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.506951335,6.6262257099
Lsne-Morges,,1,0103,Lausanne,Grand-Rive,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5122456197,6.6161298752
Lsne-Morges,,1,0104,Paudex,Paudex,12,,,,,,,46.5058,6.6711
Lsne-Morges,Campus,1,0131,Lausanne,Piccard,11,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5205884246,6.568236351
Lsne-Morges,Campus,1,0132,Lausanne,Rivier,17,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5219024841,6.5648460388
Lsne-Morges,Campus,1,0133,Lausanne,Place Alan Turing,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5190602367,6.5622603893
Lsne-Morges,Campus,1,0134,Lausanne,Sorge,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5212823701,6.5738368034
Lsne-Morges,Campus,1,0135,Lausanne,Dorigny,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5227588205,6.5852200985
Lsne-Morges,Campus,1,0136,Lausanne,Unil Centre,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.522205,6.57929
Lsne-Morges,Campus,1,0137,Lausanne,IDHEAP,24,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5261102139,6.5778708458
Lsne-Morges,Campus,1,0138,Lausanne,Quartier de l'innovation,12,#NOM ?,,#NOM ?,,#NOM ?,,46.51712,6.561497
Lsne-Morges,Campus,1,0139,Lausanne,Centre Sportif UNIL EPFL,20,#NOM ?,,#NOM ?,,#NOM ?,,46.519873,6.579683
Lsne-Morges,Campus,1,0140,Lausanne,Quartier nord,20,#NOM ?,,#NOM ?,,#NOM ?,,46.523023,6.565379
Lsne-Morges,,1,0141,Renens,Gare de Renens,8,#NOM ?,,#NOM ?,,#NOM ?,,46.537001,6.578547
Lsne-Morges,,1,0142,Renens,Place du Marché,12,#NOM ?,,#NOM ?,,#NOM ?,,46.538156,6.581267
Lsne-Morges,,1,0143,Renens,Longemalle,12,#NOM ?,,#NOM ?,,#NOM ?,,46.527976,6.91598
Lsne-Morges,,1,0144,Renens,Halte de Malley,12,#NOM ?,,#NOM ?,,#NOM ?,,46.52632,6.60285
Lsne-Morges,,1,0161,Morges,Gare de Morges,23,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5108574889,6.4939713478
Lsne-Morges,,1,0162,Morges,Burtignière,9,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5106728944,6.4822125435
Lsne-Morges,,1,0163,Morges,Delay,9,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5151325228,6.4879846573
Lsne-Morges,,1,0164,Morges,Avenue de Lonay,9,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5195917852,6.5090560913
Lsne-Morges,,1,0165,Morges,Louis de Savoie,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5088269147,6.4992821217
Lsne-Morges,,1,0166,Morges,Medtronic,20,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5019223947,6.4812684059
Lsne-Morges,,1,0167,Préverenges,Préverenges,12,#NOM ?,12.00,#NOM ?,,#NOM ?,,46.5178568507,6.5277242661
Lsne-Morges,,1,0168,Ecublens,Croset,12,#NOM ?,,#NOM ?,,#NOM ?,,46.532962,6.566493
